Time,Lat,Long,TTFF,Count,Commands,TxTries,ONT,I,V,Temperature,AirmarAirTemp,AirmarWindDirection,AirmarWindSpeed,AirmarWindGust,AirmarHeading,AirmarAirFix,MOSE_OnMin,Hs,Ts,T0,Hmax,Err,
2020-03-07 04:30:00,47.61393,-51.49572,26,14,0,2,1230,0.018,13.2,0,-4.2,0,11,11,54,0,10,2.7,7.5,6.25,4.1,0,
2020-03-07 05:30:00,47.63367,-51.47214,42,16,0,3,1240,0.018,13.2,0,-4.4,0,8,8,196,0,10,3.1,8.5,6,4.2,0,
2020-03-07 06:00:00,47.61654,-51.47493,26,17,0,1,1230,0.016,13.2,0,-4.5,0,4,4,92,0,10,2.4,7.25,5.75,2.8,0,
2020-03-07 06:30:00,47.6145,-51.46074,26,18,0,1,1230,0.018,13.2,0,-4.7,0,4,4,50,0,10,3,8.75,5.75,4,0,
2020-03-07 08:00:00,47.62254,-51.43737,42,21,0,3,1240,0.018,13.2,0,-4.8,0,7,7,85,0,10,2.8,8.25,6,3.9,0,
2020-03-07 08:30:00,47.61924,-51.43059,26,22,0,1,1230,0.018,13.2,0,-4.8,0,5,5,80,0,10,2.3,8.25,6.5,2.9,0,
2020-03-07 09:00:00,47.62248,-51.42225,26,23,0,2,1230,0.018,13.2,0,-5,0,5,5,83,0,10,2.5,7.75,6,3.2,0,
2020-03-07 14:00:00,47.62131,-51.41184,43,33,0,3,1240,0.018,13.8,1,-3.8,0,3,3,142,0,10,2,7.5,6,2.8,0,
2020-03-07 14:30:00,47.62071,-51.41349,26,34,0,2,1230,0.018,13.9,1,-3.9,0,2,2,322,0,10,2.3,8.25,6.25,2.9,0,
2020-03-07 15:00:00,47.62281,-51.41937,26,35,0,2,1230,0.018,14.2,1,-3.8,0,6,6,152,0,10,2.8,11,8.25,3.8,0,
2020-03-07 16:00:00,47.62179,-51.42858,26,37,0,3,1230,0.018,13.8,1,-3.9,0,5,5,285,0,10,2.4,10,7,3.1,0,
2020-03-07 16:30:00,47.62311,-51.44211,26,38,0,3,1230,0.018,13.8,1,-3.8,0,6,6,325,0,10,2.2,9,6.5,2.5,0,
2020-03-07 17:00:00,47.62728,-51.45636,26,39,0,1,1230,0.018,13.8,1,-3.6,0,2,2,138,0,10,2.5,9.25,5.5,3.8,0,
2020-03-07 17:30:00,47.6238,-51.45789,26,40,0,1,1230,0.018,13.8,1,-3.8,0,4,4,155,0,10,2.1,10,6,2.7,0,
2020-03-07 18:00:00,47.62011,-51.45945,42,41,0,1,1240,0.016,13.9,1,-3.8,70,6,8,150,1,10,1.8,8,5.5,2.6,0,
2020-03-07 18:30:00,47.61585,-51.46185,26,42,0,3,1230,0.018,13.9,1,-3.9,0,5,5,144,0,10,1.7,8.75,6,2.4,0,
2020-03-07 19:00:00,47.61207,-51.46233,26,43,0,1,1230,0.016,14,1,-3.9,0,4,4,137,0,10,2,9.25,6.5,2.7,0,
2020-03-07 19:30:00,47.60838,-51.4623,26,44,0,1,1230,0.018,14,1,-3.9,0,10,10,140,0,10,2.1,8.5,6.5,3.4,0,
2020-03-07 20:00:00,47.60379,-51.46131,26,45,0,1,1230,0.018,14,0,-4,0,7,7,141,0,10,1.7,8,5.25,2.8,0,
2020-03-07 20:30:00,47.59875,-51.46002,26,46,0,1,1230,0.018,13.7,0,-4,0,8,8,139,0,10,2,9.25,6.25,2.6,0,
2020-03-07 21:00:00,47.59311,-51.45855,26,47,0,1,1230,0.018,13.4,1,-4,0,6,6,134,0,10,2.1,8,6,2.8,0,
2020-03-07 21:30:00,47.58735,-51.45633,42,48,0,2,1240,0.018,13.3,1,-3.9,0,3,3,134,0,10,1.9,8,5.5,2.7,0,
2020-03-07 22:00:00,47.58231,-51.4527,26,49,0,1,1230,0.018,13.3,0,-3.8,0,8,8,130,0,10,1.5,6.25,4.25,2,0,
2020-03-07 22:30:00,47.57862,-51.44637,26,50,0,1,1230,0.018,13.3,0,-3.8,0,7,7,124,0,10,1.7,6.5,4.75,2.3,0,
2020-03-07 23:00:00,47.57634,-51.43926,26,51,0,1,1230,0.018,13.3,0,-3.6,0,6,6,133,0,10,1.8,7,4.5,2.3,0,
2020-03-07 23:30:00,47.57289,-51.43047,26,52,0,1,1230,0.018,13.2,0,-3.6,0,13,13,132,0,10,1.8,6.5,4.75,2.3,0,
2020-03-08 00:00:00,47.56941,-51.42075,42,53,0,1,1240,0.018,13.2,1,-3.4,120,7,9,135,1,10,2.3,6,4.75,3.4,0,
2020-03-08 00:30:00,47.56485,-51.41061,32,54,0,1,1230,0.018,13.2,0,-3.4,105,5,12,138,1,10,1.8,5,4.75,2.7,2,
2020-03-08 01:00:00,47.56008,-51.40098,26,55,0,1,1230,0.018,13.2,0,-3.3,140,3,5,141,1,10,2.2,6.75,4.75,3.2,0,
2020-03-08 01:30:00,47.55498,-51.39297,26,56,0,1,1230,0.018,13.2,0,-3.3,20,2,5,140,1,10,2.9,6,4.75,3.5,0,
2020-03-08 02:00:00,47.55084,-51.38331,26,57,0,1,1230,0.018,13.2,0,-3.2,0,3,3,134,0,10,2.4,5.75,4.25,3.4,2,
2020-03-08 02:30:00,47.54625,-51.372,26,58,0,1,1230,0.018,13.2,0,-3.1,0,3,3,136,0,10,2.9,7,5.75,3.7,0,
2020-03-08 03:00:00,47.541,-51.36111,43,59,0,1,1240,0.018,13.2,1,-2.9,0,6,6,137,0,10,2.7,6.75,5.5,3.3,0,
2020-03-08 03:30:00,47.53515,-51.35127,26,0,0,1,1230,0.018,13.2,1,-2.8,0,2,2,134,0,10,3,6.75,5,3.9,0,
2020-03-08 04:00:00,47.52891,-51.34161,26,1,0,1,1230,0.018,13.2,1,-2.6,210,3,5,134,1,10,2.7,7.5,5.5,3.3,3,
2020-03-08 04:30:00,47.52267,-51.33348,26,2,0,1,1230,0.018,13.2,1,-2.4,0,5,5,133,0,10,2.8,6.5,5.25,3.6,0,
2020-03-08 05:00:00,47.51667,-51.32931,26,3,0,1,1230,0.018,13.2,0,-2.2,0,14,14,129,0,10,3,6.5,5.25,3.8,1,
2020-03-08 05:30:00,47.51127,-51.3222,26,4,0,2,1230,0.018,13.2,1,-2.1,0,12,12,122,0,10,2.5,7,5.5,3.7,0,
2020-03-08 06:00:00,47.50563,-51.31734,42,5,0,1,1240,0.018,13.2,1,-2,0,10,10,116,0,10,2.9,7,6.5,3.4,0,
2020-03-08 06:30:00,47.50173,-51.31038,26,6,0,1,1230,0.018,13.2,1,-1.9,0,12,12,109,0,10,3,7,5.5,4.5,0,
2020-03-08 07:00:00,47.49855,-51.30318,26,7,0,1,1230,0.018,13.2,1,-2,0,12,12,103,0,10,2.8,8,5.5,3.9,0,
2020-03-08 07:30:00,47.49549,-51.2958,26,8,0,1,1230,0.018,13.2,0,-2.2,0,10,10,103,0,10,3,7.75,5.75,4.2,0,
