time,lon,lat
20160920_084229,-54.3221,54.4933
20160920_084721,-54.3226,54.4937
20160920_085025,-54.3226,54.4938
20160920_085402,-54.3225,54.4939
20160920_085629,-54.3222,54.494
20160920_090057,-54.3221,54.4943
20160920_090455,-54.322,54.4946
20160920_092212,-54.3226,54.4942
20160920_092446,-54.3226,54.4943
20160920_092937,-54.3227,54.4944
20160920_093321,-54.3226,54.4948
20160920_093753,-54.3226,54.4952
20160920_094058,-54.3224,54.4955
20160920_094525,-54.3225,54.4958
20160920_094837,-54.3223,54.496
20160920_095324,-54.3226,54.4961
20160920_095549,-54.3228,54.4964
20160920_100053,-54.3232,54.4965
20160920_100417,-54.323,54.4966
20160920_100936,-54.3232,54.4964
20160920_101224,-54.3228,54.4969
20160920_101731,-54.3223,54.4974
20160920_102030,-54.3224,54.4979
20160920_102434,-54.3223,54.4983
20160920_102709,-54.3225,54.4986
20160920_103307,-54.323,54.4989
20160920_103535,-54.3229,54.4992
20160920_103944,-54.3228,54.4999
20160920_104315,-54.3227,54.5002
20160920_104938,-54.3227,54.5004
20160920_105231,-54.323,54.5006
20160920_105539,-54.3232,54.5009
20160920_105811,-54.3229,54.5011
20160920_110246,-54.323,54.5012
20160920_110538,-54.3232,54.5015
20160920_111041,-54.323,54.5018
20160920_111321,-54.3228,54.5021
20160920_111744,-54.3225,54.5024
20160920_112015,-54.3222,54.5027
20160920_112423,-54.3215,54.5032
20160920_112807,-54.3212,54.5036
20160920_113325,-54.3202,54.5038
20160920_113609,-54.3204,54.5043
20160920_114012,-54.3207,54.5047
20160920_114327,-54.3204,54.5051
20160920_114814,-54.32,54.5056
20160920_115128,-54.3197,54.5059
20160920_115559,-54.3194,54.5064
20160920_115900,-54.3192,54.5067
20160920_120517,-54.3188,54.5072
20160920_121022,-54.3184,54.5077
20160920_122004,-54.3175,54.5084
20160920_122939,-54.3163,54.51
20160920_123808,-54.315,54.5109
20160920_124156,-54.3141,54.5113
20160920_124657,-54.3134,54.5117
20160920_125015,-54.3127,54.5121
20160920_125546,-54.3114,54.5124
20160920_125903,-54.3109,54.5127
20160920_130414,-54.3102,54.5129
20160920_130713,-54.3097,54.513
20160920_131203,-54.3088,54.5132
20160920_131511,-54.3079,54.5135
20160920_131916,-54.3071,54.5136
20160920_132155,-54.3064,54.5139
20160920_132621,-54.3053,54.5142
20160920_132911,-54.3046,54.5144
20160920_133411,-54.3037,54.5143
20160920_133720,-54.3029,54.5144
20160920_134149,-54.3014,54.5148
20160920_134502,-54.3009,54.5149
20160920_134943,-54.2999,54.515
20160920_135343,-54.2993,54.5153
